Time,Amount,Age,Location,TransactionType,Class,JobArea,ItemCategory
30975.36973766612,119.68,60,NC,In-Store,0,Logistics,Pharmacy
63886.541119224225,31.74,38,NY,Online,0,Logistics,Electronics
9373.374560225258,12.2,55,CA,Online,0,Engineering,Toys
149786.75272697094,30.1,22,PA,Online,0,Tech Support,Pharmacy
142713.48552655356,43.81,63,OH,In-Store,0,Retail,Clothing
49093.19698650042,35.01,61,FL,Online,0,Healthcare,Groceries
126690.11334203897,0.61,19,IL,In-Store,0,Tech Support,Toys
117590.27939851042,55.12,22,OH,Online,0,Tech Support,Pharmacy
151431.86132786775,19.97,62,NY,In-Store,0,Logistics,Furniture
65657.07975048524,48.12,44,IL,In-Store,0,Healthcare,Electronics
54481.91407946538,9.19,26,FL,Online,0,Logistics,Clothing
18069.322809784364,7.07,21,NC,Online,0,Finance,Gas
201338.25022742304,19.11,18,MI,In-Store,0,Tech Support,Restaurants
212688.3958202519,87.14,24,IL,In-Store,0,Logistics,Clothing
172714.49678163166,15.2,69,CA,In-Store,0,Healthcare,Toys
171501.14917296724,32.86,29,MI,Online,0,Logistics,Restaurants
132902.01220207172,56.71,48,GA,Online,0,Logistics,Restaurants
66520.86727176988,0.66,75,GA,Online,0,Retail,Gas
126155.21492999389,64.06,25,OH,In-Store,0,Logistics,Electronics
193651.13820057694,21.3,33,IL,In-Store,0,Retail,Gas
89699.74289690724,17.95,32,NY,Online,0,Hospitality,Gas
9033.829044841665,34.04,39,MI,Online,0,Tech Support,Toys
102245.26964653304,2.01,34,NC,In-Store,0,Engineering,Pharmacy
136336.63563431308,62.71,79,PA,Online,0,Tech Support,Groceries
55806.8785242473,13.44,38,TX,In-Store,0,Healthcare,Restaurants
256205.56966523625,39.79,64,GA,Online,0,Logistics,Restaurants
33926.77375644832,36.2,65,NC,Online,0,Retail,Toys
245078.75575287815,28.73,60,CA,Online,0,Healthcare,Toys
8670.300535291508,110.67,40,IL,Online,0,Retail,Groceries
67814.51456263139,74.84,65,MI,Online,0,Tech Support,Pharmacy
108417.48114399266,63.09,29,NY,Online,0,Engineering,Electronics
202040.57856792846,29.63,67,PA,Online,0,Education,Electronics
184529.0965045596,13.57,41,TX,Online,0,Healthcare,Groceries
84309.15374426336,12.64,38,MI,In-Store,0,Engineering,Groceries
70914.16910055681,15.14,78,TX,Online,0,Tech Support,Groceries
75016.66181772198,27.91,73,FL,Online,0,Healthcare,Furniture
84268.8694577545,132.97,61,GA,In-Store,0,Logistics,Clothing
96533.4061066335,21.96,27,FL,In-Store,0,Finance,Pharmacy
127532.2089184768,95.85,34,OH,Online,0,Engineering,Furniture
142652.42061472783,63.45,19,PA,In-Store,1,Logistics,Gas
56210.21885291002,109.91,24,OH,In-Store,0,Tech Support,Groceries
153830.13187182727,47.24,50,CA,In-Store,0,Logistics,Groceries
12246.629873162155,27.46,23,MI,Online,0,Engineering,Restaurants
151065.6522655984,56.92,38,GA,In-Store,0,Engineering,Electronics
161771.3102879721,17.31,54,NY,In-Store,0,Tech Support,Pharmacy
133899.85709330955,114.27,42,PA,In-Store,0,Education,Toys
28556.07569150971,65.82,22,OH,In-Store,0,Hospitality,Gas
131951.08123080668,46.98,52,NY,Online,0,Hospitality,Clothing
148243.25121055025,10.69,56,OH,Online,0,Tech Support,Restaurants
127665.51265359702,49.29,42,GA,Online,0,Hospitality,Groceries
31877.49654149288,105.09,23,PA,Online,0,Healthcare,Furniture
48380.3873844971,3.69,44,CA,Online,0,Finance,Toys
14967.894675691128,85.15,59,NC,In-Store,0,Healthcare,Pharmacy
99945.25925870748,79.72,46,MI,In-Store,0,Education,Groceries
76445.63840128786,47.3,78,PA,In-Store,0,Hospitality,Electronics
32076.98590616932,74.09,47,OH,In-Store,0,Retail,Electronics
1614.807962422998,26.68,60,MI,Online,0,Education,Groceries
238973.15542547184,36.56,34,GA,Online,0,Tech Support,Electronics
73289.7800010523,214.58,72,GA,In-Store,0,Finance,Pharmacy
75799.64989734472,3.41,42,NC,In-Store,0,Hospitality,Clothing
161906.31181976764,46.91,48,CA,In-Store,0,Finance,Furniture
203200.24958928165,85.53,34,OH,In-Store,0,Logistics,Pharmacy
187577.4248401607,9.63,69,MI,In-Store,0,Retail,Electronics
88502.9683853757,25.62,36,OH,In-Store,0,Tech Support,Restaurants
23407.40795812257,77.35,18,MI,Online,0,Tech Support,Groceries
240673.9845748597,5.33,69,NC,In-Store,0,Engineering,Gas
31302.60759959276,118.36,44,NY,Online,0,Retail,Toys
7079.819144868426,14.9,31,MI,Online,1,Retail,Electronics
5053.930508371821,55.75,34,OH,Online,0,Retail,Furniture
9443.160742715998,44.66,41,CA,In-Store,0,Logistics,Electronics
36306.52293525439,3.81,25,NY,Online,0,Logistics,Furniture
164732.30313862188,33.03,24,MI,In-Store,0,Education,Toys
83351.15284309971,47.52,27,IL,Online,0,Retail,Toys
21334.505540671184,1.45,26,MI,In-Store,0,Finance,Pharmacy
88794.05141492946,37.53,40,OH,Online,0,Finance,Pharmacy
127428.1530786067,9.99,68,OH,In-Store,0,Hospitality,Furniture
41243.320045850545,8.7,79,MI,In-Store,0,Finance,Clothing
98103.28053848624,126.53,25,NY,In-Store,0,Hospitality,Toys
106896.04615558384,89.2,65,TX,Online,0,Retail,Toys
256462.82381657386,12.2,69,TX,In-Store,0,Healthcare,Clothing
88960.43875905046,31.46,22,MI,In-Store,0,Finance,Electronics
159747.28500521652,40.02,39,GA,Online,0,Engineering,Groceries
88603.18268439104,24.59,18,PA,Online,0,Engineering,Electronics
120477.78119398524,94.66,38,CA,Online,0,Education,Toys
95445.83451557775,15.69,77,CA,Online,0,Finance,Toys
123482.17544257078,14.6,38,GA,In-Store,0,Engineering,Electronics
114932.96033604423,50.71,68,TX,Online,0,Education,Groceries
60991.229396567214,9.99,65,OH,Online,0,Retail,Gas
163866.88802977232,76.93,25,NY,Online,0,Tech Support,Furniture
248496.99073192533,28.62,20,GA,In-Store,0,Finance,Pharmacy
16707.36649231235,41.27,42,IL,Online,0,Healthcare,Gas
142271.6630705022,31.41,63,TX,In-Store,0,Logistics,Electronics
10038.289319484444,72.05,56,NY,In-Store,0,Healthcare,Furniture
26960.021068453032,32.37,30,NC,Online,0,Logistics,Restaurants
121903.63147298642,0.09,58,GA,In-Store,0,Logistics,Electronics
81.4975717473402,3.85,23,IL,In-Store,0,Finance,Clothing
140767.20968127847,41.85,77,PA,In-Store,0,Finance,Clothing
94399.26870391905,8.27,80,FL,In-Store,0,Engineering,Restaurants
65835.2920898995,25.43,79,NY,In-Store,0,Tech Support,Clothing
83473.8471694027,1.93,77,FL,Online,0,Healthcare,Clothing
194274.2821779197,51.35,36,OH,Online,0,Engineering,Groceries
2262.722098464052,96.42,21,TX,Online,0,Education,Clothing
63744.447032704054,21.02,72,IL,Online,0,Finance,Electronics
192252.89360671528,11.16,63,NY,In-Store,0,Engineering,Gas
237252.63597723804,18.62,36,TX,In-Store,0,Tech Support,Restaurants
5774.629485034275,13.5,26,MI,In-Store,0,Retail,Clothing
52369.76353105757,57.28,42,CA,In-Store,0,Engineering,Furniture
231857.38020870805,33.17,77,PA,Online,0,Finance,Clothing
64188.86503699668,77.34,22,NC,Online,0,Hospitality,Furniture
148058.4591984378,15.17,52,PA,In-Store,0,Retail,Furniture
8537.01500981504,20.08,64,OH,Online,0,Finance,Groceries
143454.6275903287,13.95,69,MI,In-Store,0,Tech Support,Restaurants
113225.81425442296,0.92,71,TX,In-Store,0,Finance,Groceries
246832.50723704253,24.02,51,NY,In-Store,0,Hospitality,Pharmacy
48852.53934078852,55.13,40,MI,Online,0,Finance,Furniture
28820.85151973889,24.72,63,FL,Online,0,Education,Pharmacy
73221.97023050622,15.29,65,FL,In-Store,0,Finance,Groceries
19082.625997438543,4.89,52,NY,Online,0,Retail,Furniture
200360.82918881797,7.88,79,NC,In-Store,0,Tech Support,Groceries
67255.24929813022,133.85,61,TX,In-Store,0,Logistics,Electronics
63261.07226319495,3.3,67,GA,In-Store,0,Education,Gas
7249.171408986746,20.75,23,GA,In-Store,0,Retail,Restaurants
196034.80407087112,52.79,70,MI,In-Store,0,Education,Furniture
28256.92518269193,27.71,25,NC,In-Store,0,Finance,Toys
1836.523800850533,18.63,57,PA,In-Store,1,Retail,Furniture
154869.6238524518,54.21,60,TX,In-Store,0,Logistics,Groceries
88751.03302931495,54.78,26,PA,Online,0,Logistics,Groceries
69067.2918962193,43.88,64,NY,In-Store,0,Engineering,Electronics
46089.509080604694,22.19,51,MI,In-Store,0,Education,Groceries
226761.34001029833,65.25,59,GA,Online,0,Hospitality,Gas
161039.94733227548,81.19,43,FL,Online,0,Hospitality,Clothing
143311.2274535084,10.35,54,GA,Online,1,Finance,Clothing
